AREA,GENUSE,SPUSE
SWE,A,A_calendar
NORN,AF,AF_aerial
NORS,AF,AF_aerial
SWE,AF,AF_aerial
NORN,AF,AF_pasture
NORS,AF,AF_pasture
SWE,AF,AF_pasture
SWE,F,F_alcoholic
DEN,F,F_condiments
NORN,F,F_condiments
NORS,F,F_condiments
ICE,F,F_drinkarom
DEN,F,F_drinkarom
NORN,F,F_drinkarom
NORS,F,F_drinkarom
SWE,F,F_drinkarom
DEN,F,F_leafveg
NORN,F,F_non-alcoholic
NORS,F,F_non-alcoholic
DEN,F,F_non-alcoholic
DEN,F,F_other
DEN,IC,IC_cosmetics
ICE,IC,IC_dyes
DEN,IC,IC_dyes
FOR,IC,IC_dyes
ICE,IC,IC_tanning
DEN,IC,IC_tanning
DEN,M,M_blood
DEN,M,M_urological
DEN,M,M_ear
DEN,M,M_endocrine
DEN,M,M_eye
ICE,M,M_general
DEN,M,M_general
SWE,M,M_general
SWE,M,M_general
DEN,M,M_injuries
DEN,M,M_malegen
DEN,M,M_other
NORS,M,M_other
DEN,M,M_pregnancy
DEN,M,M_respiratory
NORN,M,M_respiratory
NORS,M,M_respiratory
SWE,SSR,SSR_alucinogen
SWE,SSR,SSR_harmful
DEN,SSR,SSR_charms
NORS,SSR,SSR_charms
NORN,SSR,SSR_divination
NORS,SSR,SSR_divination
SWE,SSR,SSR_other
SWE,SSR,SSR_other
NORN,V,V_other
NORS,V,V_other
