AREA,GENUSE,SPUSE
SWE,A,A_calendar
DEN,A,A_fertiliser
DEN,A,A_pesticides
DEN,AF,AF_aerial
SWE,AF,AF_seeds
DEN,F,F_alcoholic
DEN,F,F_condiments
DEN,F,F_drinkarom
NORN,F,F_leafveg
NORS,F,F_leafveg
DEN,F,F_leafveg
DEN,F,F_preservatives
SWE,F,F_preservatives
DEN,Fu,Fu_unspecified
DEN,IC,IC_baskets
DEN,IC,IC_cosmetics
DEN,IC,IC_other
DEN,IC,IC_ropes
NORN,M,M_blood
NORS,M,M_blood
DEN,M,M_blood
DEN,M,M_culture-bound-syndromes
NORN,M,M_digestive
NORS,M,M_digestive
DEN,M,M_digestive
SWE,M,M_digestive
SWE,M,M_digestive
NORN,M,M_ear
NORS,M,M_ear
DEN,M,M_endocrine
SWE,M,M_endocrine
DEN,M,M_femalegen
DEN,M,M_general
DEN,M,M_injuries
DEN,M,M_musculoskeletal
DEN,M,M_neurological
DEN,M,M_other
DEN,M,M_pregnancy
DEN,M,M_skin
DEN,M,M_urological
DEN,SSR,SSR_alucinogen
SWE,SSR,SSR_alucinogen
DEN,SSR,SSR_divination
SWE,SSR,SSR_entertainment
DEN,SSR,SSR_ornamental
DEN,SSR,SSR_ornamental
DEN,SSR,SSR_other
DEN,V,V_digestive
DEN,V,V_general
DEN,V,V_respiratory
DEN,V,V_urological
