AREA,GENUSE,SPUSE
SWE,A,A_calendar
NORN,AF,AF_aerial
NORS,AF,AF_aerial
NORS,AF,AF_aerial
DEN,Co,Co_fences
SWE,Co,Co_fences
SWE,Co,Co_fences
NORN,Co,Co_fences
NORS,Co,Co_fences
DEN,Co,Co_houses
NORN,Co,Co_houses
NORS,Co,Co_houses
NORN,Co,Co_other
NORS,Co,Co_other
SWE,F,F_alcoholic
NORN,F,F_alcoholic
DEN,F,F_alcoholic
SWE,F,F_alcoholic
NORS,F,F_alcoholic
SWE,F,F_candy
NORS,F,F_candy
FOR,F,F_condiments
DEN,F,F_condiments
FOR,F,F_drinkarom
ICE,F,F_drinkarom
NORN,F,F_fats
NORS,F,F_fats
SWE,F,F_fruits
NORN,F,F_non-alcoholic
NORS,F,F_non-alcoholic
SWE,F,F_non-alcoholic
ICE,F,F_non-alcoholic
DEN,F,F_non-alcoholic
SWE,F,F_non-alcoholic
SWE,F,F_non-alcoholic
FOR,F,F_other
ICE,F,F_other
SWE,F,F_other
NORN,F,F_other
NORS,F,F_other
SWE,F,F_sweeteners
NORN,F,F_sweeteners
NORS,F,F_sweeteners
GNL,Fu,Fu_firewood
NORN,Fu,Fu_firewood
NORS,Fu,Fu_firewood
DEN,Fu,Fu_tinder
DEN,IC,IC_baskets
SWE,IC,IC_baskets
SWE,IC,IC_baskets
NORN,IC,IC_baskets
NORS,IC,IC_baskets
NORN,IC,IC_clothes
NORS,IC,IC_clothes
DEN,IC,IC_cosmetics
NORN,IC,IC_cosmetics
NORS,IC,IC_cosmetics
ICE,IC,IC_dyes
DEN,IC,IC_dyes
NORN,IC,IC_dyes
NORS,IC,IC_dyes
DEN,IC,IC_furniture
NORN,IC,IC_furniture
NORS,IC,IC_furniture
DEN,IC,IC_other
SWE,IC,IC_other
SWE,IC,IC_other
NORS,IC,IC_other
SWE,IC,IC_ropes
NORN,IC,IC_ropes
NORS,IC,IC_ropes
DEN,IC,IC_tools
SWE,IC,IC_tools
NORN,IC,IC_tools
NORS,IC,IC_tools
ICE,M,M_blood
NORN,M,M_culture-bound-syndromes
NORS,M,M_culture-bound-syndromes
DEN,M,M_digestive
SWE,M,M_digestive
NORN,M,M_digestive
NORS,M,M_digestive
DEN,M,M_ear
DEN,M,M_endocrine
DEN,M,M_eye
SWE,M,M_eye
DEN,M,M_femalegen
NORN,M,M_general
NORS,M,M_general
ICE,M,M_general
DEN,M,M_general
SWE,M,M_general
NORS,M,M_general
ICE,M,M_injuries
DEN,M,M_injuries
NORN,M,M_injuries
NORS,M,M_injuries
NORS,M,M_intoxication
DEN,M,M_malegen
FOR,M,M_musculoskeletal
DEN,M,M_musculoskeletal
NORN,M,M_musculoskeletal
NORS,M,M_musculoskeletal
DEN,M,M_neurological
FOR,M,M_other
DEN,M,M_other
GRO,M,M_other
SWE,M,M_other
NORN,M,M_other
NORS,M,M_other
DEN,M,M_pregnancy
NORN,M,M_psychological
SWE,M,M_respiratory
ICE,M,M_respiratory
DEN,M,M_respiratory
SWE,M,M_respiratory
NORN,M,M_respiratory
NORS,M,M_respiratory
NORS,M,M_respiratory
FOR,M,M_skin
ICE,M,M_skin
DEN,M,M_skin
SWE,M,M_skin
NORN,M,M_digestive
NORS,M,M_digestive
DEN,M,M_tumors
FOR,M,M_urological
SWE,M,M_urological
DEN,M,M_urological
NORN,M,M_urological
NORS,M,M_urological
DEN,SSR,SSR_alucinogen
SWE,SSR,SSR_alucinogen
SWE,SSR,SSR_alucinogen
NORS,SSR,SSR_charms
ICE,SSR,SSR_divination
SWE,SSR,SSR_divination
NORS,SSR,SSR_divination
NORS,SSR,SSR_divination
NORN,SSR,SSR_divination
ICE,SSR,SSR_orallit
SWE,SSR,SSR_orallit
ICE,SSR,SSR_ornamental
DEN,SSR,SSR_ornamental
SWE,SSR,SSR_ornamental
NORN,SSR,SSR_ornamental
NORS,SSR,SSR_ornamental
ICE,SSR,SSR_other
SWE,SSR,SSR_other
SWE,SSR,SSR_singular-trees
NORN,SSR,SSR_uncertainty
NORS,SSR,SSR_uncertainty
ICE,SSR,SSR_uncertainty
NORS,SSR,SSR_yearlyrituals
NORN,SSR,SSR_yearlyrituals
SWE,SSR,SSR_yearlyrituals
DEN,V,V_conception
NORS,V,V_conception
DEN,V,V_digestive
NORN,V,V_digestive
NORS,V,V_digestive
DEN,V,V_general
NORN,V,V_general
DEN,V,V_musculoskeletal
DEN,V,V_other
NORN,V,V_other
NORS,V,V_other
DEN,V,V_respiratory
DEN,V,V_skin
DEN,V,V_urological
