AREA,GENUSE,SPUSE
DEN,AF,AF_seeds
DEN,Fu,Fu_tinder
DEN,IC,IC_clothes
SWE,IC,IC_clothes
DEN,IC,IC_cosmetics
DEN,IC,IC_other
DEN,M,M_blood
DEN,M,M_blood
SWE,M,M_charms
FOR,M,M_digestive
DEN,M,M_digestive
SWE,M,M_digestive
FOR,M,M_endocrine
DEN,M,M_endocrine
DEN,M,M_eye
DEN,M,M_femalegen
DEN,M,M_general
SWE,M,M_general
DEN,M,M_injuries
DEN,M,M_malegen
DEN,M,M_musculoskeletal
DEN,M,M_neurological
FOR,M,M_other
DEN,M,M_other
NORS,M,M_other
DEN,M,M_pregnancy
DEN,M,M_respiratory
DEN,M,M_skin
FOR,M,M_urological
DEN,M,M_urological
DEN,SSR,SSR_other
SWE,SSR,SSR_other
DEN,SSR,SSR_uncertainty
DEN,V,V_conception
DEN,V,V_digestive
NORS,V,V_digestive
DEN,V,V_general
DEN,V,V_other
DEN,V,V_respiratory
DEN,V,V_skin
