AREA,GENUSE,SPUSE
NORN,AF,AF_aerial
NORN,AF,AF_pasture
NORS,AF,AF_pasture
ICE,AF,AF_pasture
FOR,F,F_additives
GNL,F,F_leafveg
NORS,F,F_leafveg
GNL,F,F_rootveg
GNL,F,F_rootveg
FOR,IC,IC_cosmetics
FOR,IC,IC_cosmetics
ICE,IC,IC_dyes
ICE,SSR,SSR_uncertainty
FOR,M,M_endocrine
NORN,M,M_endocrine
NORS,M,M_endocrine
NORN,M,M_general
NORS,M,M_general
ICE,M,M_general
SWE,M,M_general
ICE,M,M_injuries
ICE,M,M_other
NORS,M,M_respiratory
FOR,M,M_skin
NORS,M,M_skin
NORN,M,M_skin
NORS,SSR,SSR_divination
FOR,SSR,SSR_ornamental
NORS,SSR,SSR_other
ICE,V,V_conception
NORN,V,V_general
