AREA,GENUSE,SPUSE
SWE,F,F_alcoholic
ICE,F,F_alcoholic
DEN,F,F_alcoholic
SWE,F,F_alcoholic
NORN,F,F_alcoholic
NORS,F,F_alcoholic
NORS,F,F_condiments
SWE,F,F_drinkarom
NORN,F,F_drinkarom
NORS,F,F_drinkarom
SWE,F,F_drinkarom
DEN,F,F_leafveg
NORN,F,F_non-alcoholic
NORS,F,F_non-alcoholic
ICE,F,F_non-alcoholic
DEN,F,F_non-alcoholic
NORN,IC,IC_cosmetics
SWE,IC,IC_dyes
DEN,IC,IC_tanning
FOR,M,M_blood
NORN,M,M_blood
NORS,M,M_blood
DEN,M,M_blood
FOR,M,M_blood
NORN,M,M_blood
NORN,M,M_digestive
NORS,M,M_digestive
DEN,M,M_digestive
FOR,M,M_digestive
SWE,M,M_digestive
NORN,M,M_digestive
NORN,M,M_ear
NORS,M,M_ear
DEN,M,M_endocrine
SWE,M,M_endocrine
DEN,M,M_eye
DEN,M,M_femalegen
FOR,M,M_general
ICE,M,M_general
DEN,M,M_general
SWE,M,M_general
FOR,M,M_injuries
ICE,M,M_injuries
DEN,M,M_injuries
FOR,M,M_injuries
SWE,M,M_injuries
SWE,M,M_injuries
NORN,M,M_injuries
NORS,M,M_injuries
NORN,M,M_musculoskeletal
NORS,M,M_musculoskeletal
DEN,M,M_musculoskeletal
SWE,M,M_musculoskeletal
DEN,M,M_neurological
DEN,M,M_other
NORN,M,M_other
NORS,M,M_other
DEN,M,M_pregnancy
DEN,M,M_respiratory
NORN,M,M_respiratory
NORS,M,M_respiratory
DEN,M,M_skin
NORN,M,M_tumors
NORS,M,M_tumors
DEN,M,M_urological
NORS,M,M_urological
SWE,SSR,SSR_alucinogen
DEN,SSR,SSR_alucinogen
SWE,SSR,SSR_alucinogen
NORN,SSR,SSR_alucinogen
NORS,SSR,SSR_alucinogen
NORN,SSR,SSR_harmful
NORS,SSR,SSR_charms
ICE,SSR,SSR_uncertainty
NORN,SSR,SSR_yearlyrituals
NORS,SSR,SSR_yearlyrituals
FOR,V,V_conception
FOR,V,V_conception
NORS,V,V_digestive
DEN,V,V_general
FOR,V,V_skin
